Name,Party
PËRPARIM GRUDA,PARTIA DEMOKRATIKE E KOSOVËS
RAMUSH HARADINAJ,ALEANCA PËR ARDHMËRINË E KOSOVËS
ROZETA HAJDARI,Lëvizja VETËVENDOSJE!
RRAHMAN RAMA,PARTIA DEMOKRATIKE E KOSOVËS
RUFKI SUMA,Lëvizja VETËVENDOSJE!
SALA JASHARI,PARTIA DEMOKRATIKE E KOSOVËS
SALIH ZYBA,Lëvizja VETËVENDOSJE!
SHQIPE ISUFI,Lëvizja VETËVENDOSJE!
SHQIPE MEHMETI SELIMI,Lëvizja VETËVENDOSJE!
SLAVKO SIMIĆ,SRPSKA LISTA
SRDJAN POPOVIĆ,SRPSKA LISTA
SYLEJMAN MEHOLLI,Lëvizja VETËVENDOSJE!
TAULANT KELMENDI,Lëvizja VETËVENDOSJE!
TIME KADRIJAJ,ALEANCA PËR ARDHMËRINË E KOSOVËS
UKË RUGOVA,LIDHJA DEMOKRATIKE E KOSOVËS
URAN ISMAILI,PARTIA DEMOKRATIKE E KOSOVËS
VALON HOTI,Lëvizja VETËVENDOSJE!
VALON RAMADANI,Lëvizja VETËVENDOSJE!
VERICA ĆERANIĆ,SRPSKA LISTA
VETON BERISHA,PARTIA LIBERALE EGJIPTIANE
VIGAN QORROLLI,Lëvizja VETËVENDOSJE!
VLORA ÇITAKU,PARTIA DEMOKRATIKE E KOSOVËS
XHAVIT HALITI,PARTIA DEMOKRATIKE E KOSOVËS
